PLAYER_NAME,TEAM_NAME,COUNTRY,POINT_PER_GAME,REBOUND_PER_GAME,ASSIST_PER_GAME
alaa-abdelnaby,Portland Trail Blazers,USA,5.7,3.3,0.3
zaid-abdul-aziz,Houston Rockets,USA,9.0,8.0,1.2
kareem-abdul-jabbar,Los Angeles Lakers,USA,24.6,11.2,3.6
mahmoud-abdul-rauf,Denver Nuggets,USA,14.6,1.9,3.5
tariq-abdul-wahad,Sacramento Kings,France,7.8,3.3,1.1
shareef-abdur-rahim,Memphis Grizzlies,USA,18.1,7.5,2.5
tom-abernethy,Golden State Warriors,USA,5.6,3.2,1.2
forest-able,Philadelphia 76ers,USA,0.0,1.0,1.0
john-abramovic,Pittsburgh Ironmen,USA,9.5,,0.7
alex-abrines,Oklahoma City Thunder,Spain,5.3,1.4,0.5
precious-achiuwa,New York Knicks,Nigeria,6.6,5.6,1.0
alex-acker,LA Clippers,USA,2.7,1.0,0.5
donald-ackerman,New York Knicks,USA,1.5,0.5,0.8
mark-acres,Orlando Magic,USA,3.6,4.1,0.5
charles-acton,Houston Rockets,USA,3.3,2.0,0.5
quincy-acy,Sacramento Kings,USA,4.9,3.5,0.6
alvan-adams,Phoenix Suns,USA,14.1,7.0,4.1
don-adams,Detroit Pistons,USA,8.7,5.6,1.8
hassan-adams,Brooklyn Nets,USA,2.5,1.2,0.2
jaylen-adams,Atlanta Hawks,USA,2.7,1.5,1.6
jordan-adams,Memphis Grizzlies,USA,3.2,0.9,0.6
michael-adams,Denver Nuggets,USA,14.7,2.9,6.4
steven-adams,Houston Rockets,New Zealand,3.9,5.6,1.1
rafael-addison,Brooklyn Nets,USA,5.8,2.1,0.9
bam-adebayo,Miami Heat,USA,18.1,9.6,4.3
deng-adel,Cleveland Cavaliers,South Sudan,1.7,1.0,0.3
rick-adelman,Portland Trail Blazers,USA,7.7,2.4,3.5
jeff-adrien,Charlotte Hornets,USA,4.6,4.3,0.7
arron-afflalo,Denver Nuggets,USA,10.8,2.9,1.8
ochai-agbaji,Toronto Raptors,USA,10.4,3.8,1.5
maurice-ager,Dallas Mavericks,USA,2.1,0.6,0.2
mark-aguirre,Dallas Mavericks,USA,20.0,5.0,3.1
blake-ahearn,Miami Heat,USA,4.6,1.2,1.2
danny-ainge,Boston Celtics,USA,11.5,2.7,4.0
alexis-ajinca,New Orleans Pelicans,France,5.3,3.9,0.5
henry-akin,New York Knicks,USA,3.5,2.1,0.5
josh-akognon,Dallas Mavericks,USA,1.7,0.3,0.3
devaughn-akoon-purcell,Denver Nuggets,Trinidad and Tobago,1.0,0.6,0.9
solomon-alabi,Toronto Raptors,Nigeria,1.5,2.3,0.2
mark-alarie,Washington Wizards,USA,7.5,3.4,1.1
gary-alcorn,Detroit Pistons,USA,3.3,4.2,0.3
santi-aldama,Memphis Grizzlies,Spain,12.5,6.4,2.9
furkan-aldemir,Philadelphia 76ers,Turkey,2.3,4.3,0.7
cole-aldrich,New York Knicks,USA,3.1,3.3,0.5
lamarcus-aldridge,Brooklyn Nets,USA,19.1,8.1,1.9
chuck-aleksinas,Golden State Warriors,USA,5.1,3.6,0.5
cliff-alexander,Portland Trail Blazers,USA,1.3,0.8,0.0
cory-alexander,San Antonio Spurs,USA,5.5,1.6,2.7
courtney-alexander,Washington Wizards,USA,9.0,2.2,1.2
gary-alexander,Cleveland Cavaliers,USA,1.7,1.4,0.2
joe-alexander,Milwaukee Bucks,USA,4.2,1.8,0.7
kyle-alexander,Miami Heat,Canada,1.0,1.5,0.0
trey-alexander,Denver Nuggets,USA,1.3,0.5,0.5
ty-shon-alexander,Phoenix Suns,USA,0.6,0.7,0.4
victor-alexander,Golden State Warriors,USA,8.9,4.8,0.9
nickeil-alexander-walker,Minnesota Timberwolves,Canada,9.4,3.2,2.7
steve-alford,Dallas Mavericks,USA,4.4,0.9,1.0
rawle-alkins,Chicago Bulls,USA,3.7,2.6,1.3
bob-allen,Golden State Warriors,USA,1.8,2.1,0.4
grayson-allen,Phoenix Suns,USA,10.6,3.0,2.1
jarrett-allen,Cleveland Cavaliers,USA,13.5,9.7,1.9
jerome-allen,Indiana Pacers,USA,2.9,1.1,1.7
kadeem-allen,New York Knicks,USA,5.5,1.5,2.3
lavoy-allen,Indiana Pacers,USA,4.8,4.8,1.0
lucius-allen,Milwaukee Bucks,USA,13.4,3.1,4.5
malik-allen,Miami Heat,USA,4.9,2.8,0.5
randy-allen,Sacramento Kings,USA,3.6,2.1,0.3
ray-allen,Milwaukee Bucks,USA,18.9,4.1,3.4
timmy-allen,Memphis Grizzlies,USA,2.6,3.4,1.0
tony-allen,Memphis Grizzlies,USA,8.1,3.5,1.3
odis-allison,Golden State Warriors,USA,1.9,1.3,0.3
lance-allred,Cleveland Cavaliers,USA,1.0,0.3,0.0
darrell-allums,Dallas Mavericks,USA,2.7,3.0,1.1
morris-almond,Utah Jazz,USA,3.1,1.2,0.3
derrick-alston,Philadelphia 76ers,USA,5.4,3.8,0.7
rafer-alston,Houston Rockets,USA,10.1,2.8,4.8
peter-aluma,Sacramento Kings,USA,1.0,1.0,0.0
jose-alvarado,New Orleans Pelicans,USA,10.3,2.4,4.6
john-amaechi,Orlando Magic,United Kingdom,6.2,2.6,0.8
ashraf-amaya,Memphis Grizzlies,USA,4.5,4.2,0.4
al-farouq-aminu,Portland Trail Blazers,USA,7.5,6.0,1.2
lou-amundson,Phoenix Suns,USA,3.7,3.6,0.4
bob-anderegg,New York Knicks,USA,4.0,2.1,0.9
chris-andersen,Denver Nuggets,USA,5.4,5.0,0.5
david-andersen,Houston Rockets,Australia,4.9,2.8,0.6
alan-anderson,Brooklyn Nets,USA,7.3,2.2,1.1
antonio-anderson,Oklahoma City Thunder,USA,2.0,1.0,0.0
cliff-anderson,Los Angeles Lakers,USA,3.0,1.3,0.8
daniel-anderson,Portland Trail Blazers,USA,3.7,1.0,1.7
derek-anderson,Portland Trail Blazers,USA,12.0,3.2,3.4
dwight-anderson,Denver Nuggets,USA,4.2,0.4,0.6
eric-anderson,New York Knicks,USA,1.6,1.1,0.2
greg-anderson,San Antonio Spurs,USA,7.3,6.2,0.6
james-anderson,San Antonio Spurs,USA,5.8,2.3,1.2
jerome-anderson,Indiana Pacers,USA,2.6,0.5,0.3
justin-anderson,Indiana Pacers,USA,5.3,2.6,0.8
kenny-anderson,Brooklyn Nets,USA,12.6,3.1,6.1
kim-anderson,Portland Trail Blazers,USA,3.0,2.1,0.7
kyle-anderson,Miami Heat,USA,5.9,3.4,2.4
michael-anderson,San Antonio Spurs,USA,5.7,2.5,4.3
mitchell-anderson,Utah Jazz,USA,4.8,2.8,0.7
nick-anderson,Orlando Magic,USA,14.4,5.1,2.6
richard-anderson,Portland Trail Blazers,USA,5.6,3.5,1.5
ron-anderson,Philadelphia 76ers,USA,10.6,3.5,1.4
ryan-anderson,New Orleans Pelicans,USA,12.3,5.3,0.9
shandon-anderson,New York Knicks,USA,7.4,3.1,1.4
willie-anderson,San Antonio Spurs,USA,12.2,3.8,3.8
wally-anderzunas,Sacramento Kings,USA,3.6,1.9,0.2
martynas-andriuskevicius,Cleveland Cavaliers,Lithuania,0.0,0.7,0.0
don-anielak,New York Knicks,USA,3.0,2.0,0.0
ike-anigbogu,Indiana Pacers,USA,0.9,0.9,0.1
michael-ansley,Orlando Magic,USA,6.9,4.2,0.4
chris-anstey,Dallas Mavericks,Australia,5.2,3.4,0.8
giannis-antetokounmpo,Milwaukee Bucks,Greece,30.4,11.9,6.5
kostas-antetokounmpo,Chicago Bulls,Greece,1.0,1.0,0.1
thanasis-antetokounmpo,Milwaukee Bucks,Greece,2.4,1.6,0.6
carmelo-anthony,Los Angeles Lakers,USA,22.5,6.2,2.7
cole-anthony,Orlando Magic,USA,9.4,3.0,2.9
greg-anthony,New York Knicks,USA,7.3,1.9,4.0
joel-anthony,Miami Heat,Canada,2.2,2.8,0.2
pero-antic,Atlanta Hawks,Macedonia,6.3,3.5,0.9
og-anunoby,New York Knicks,United Kingdom,18.0,4.8,2.2
keith-appling,Orlando Magic,USA,1.2,0.2,0.2
rafael-araujo,Toronto Raptors,Brazil,2.8,2.8,0.3
stacey-arceneaux,Atlanta Hawks,USA,7.1,4.6,0.6
nate-archibald,Sacramento Kings,USA,18.8,2.3,7.4
robert-archibald,Toronto Raptors,Scotland,1.2,1.6,0.4
ryan-arcidiacono,New York Knicks,USA,4.0,1.8,1.9
jim-ard,Boston Celtics,USA,3.5,3.8,0.7
gilbert-arenas,Washington Wizards,USA,20.7,3.9,5.3
trevor-ariza,Los Angeles Lakers,USA,10.4,4.8,2.1
paul-arizin,Golden State Warriors,USA,22.8,8.6,2.3
joe-arlauckas,Sacramento Kings,USA,3.8,1.4,0.9
bj-armstrong,Chicago Bulls,USA,9.8,1.8,3.3
bob-armstrong,Golden State Warriors,USA,1.5,2.1,0.2
brandon-armstrong,Brooklyn Nets,USA,2.2,0.6,0.2
darrell-armstrong,Orlando Magic,USA,9.2,2.7,4.0
hilton-armstrong,New Orleans Pelicans,USA,3.0,2.6,0.3
paul-armstrong,Detroit Pistons,USA,6.8,2.3,2.3
taran-armstrong,Golden State Warriors,Australia,,,
tate-armstrong,Chicago Bulls,USA,3.8,1.0,1.1
jesse-arnelle,Detroit Pistons,USA,4.7,5.5,0.6
jay-arnette,Sacramento Kings,USA,3.7,1.0,1.2
bob-arnzen,Sacramento Kings,USA,5.5,2.8,0.4
carlos-arroyo,Orlando Magic,Puerto Rico,6.6,1.7,3.1
darrell-arthur,Denver Nuggets,USA,6.5,3.5,0.8
john-arthurs,Milwaukee Bucks,USA,3.2,1.3,1.5
jamel-artis,Orlando Magic,USA,5.1,2.5,1.2
omer-asik,New Orleans Pelicans,Turkey,5.3,7.1,0.6
vincent-askew,Oklahoma City Thunder,USA,7.1,2.5,2.2
keith-askins,Miami Heat,USA,3.8,2.9,0.8
don-asmonga,Baltimore Bullets,USA,0.7,0.1,0.7
richard-atha,New York Knicks,USA,3.2,1.5,1.2
chucky-atkins,Detroit Pistons,USA,9.9,1.7,3.4
alvin-attles,Golden State Warriors,USA,8.9,3.5,3.5
chet-aubuchon,Detroit Falcons,USA,2.2,,0.7
stacey-augmon,Atlanta Hawks,USA,8.0,3.2,1.6
dj-augustin,Los Angeles Lakers,USA,9.5,1.8,3.9
james-augustine,Orlando Magic,USA,1.6,1.2,0.1
ike-austin,Miami Heat,USA,7.6,4.7,1.2
john-austin,Washington Wizards,USA,5.8,1.8,1.0
ken-austin,Detroit Pistons,USA,1.7,0.4,0.1
deni-avdija,Portland Trail Blazers,Israel,16.9,7.3,3.9
anthony-avent,Milwaukee Bucks,USA,5.6,4.5,0.8
william-averitt,LA Clippers,USA,8.3,1.2,2.5
william-avery,Minnesota Timberwolves,USA,2.7,0.7,1.4
dennis-awtrey,Phoenix Suns,USA,4.8,4.6,2.0
joel-ayayi,Washington Wizards,France,0.3,0.4,0.6
gustavo-ayon,New Orleans Pelicans,Mexico,4.7,4.4,1.3
jeff-ayres,San Antonio Spurs,USA,2.9,2.7,0.4
deandre-ayton,Portland Trail Blazers,Bahamas,14.4,10.2,1.6
kelenna-azubuike,Golden State Warriors,United Kingdom,10.5,4.0,1.1
udoka-azubuike,Phoenix Suns,Nigeria,3.0,2.8,0.2
chris-babb,Boston Celtics,USA,1.6,1.2,0.2
luke-babbitt,New Orleans Pelicans,USA,4.8,2.2,0.6
milos-babic,Cleveland Cavaliers,USA,1.8,1.0,0.5
johnny-bach,Boston Celtics,USA,3.5,,0.7
dwayne-bacon,Los Angeles Lakers,USA,7.3,2.6,1.1
ibou-badji,Portland Trail Blazers,Senegal,1.5,2.3,0.6
jim-baechtold,New York Knicks,USA,9.7,3.1,2.1
dalibor-bagaric,Chicago Bulls,Croatia,2.6,2.5,0.4
john-bagley,Cleveland Cavaliers,USA,8.7,2.6,6.0
marcus-bagley,Philadelphia 76ers,USA,6.7,7.0,1.0
marvin-bagley-iii,Memphis Grizzlies,USA,4.4,2.7,0.4
amari-bailey,Brooklyn Nets,USA,2.3,0.9,0.7
carl-bailey,Portland Trail Blazers,USA,2.0,0.0,0.0
gus-bailey,Houston Rockets,USA,2.6,1.7,1.1
james-bailey,Oklahoma City Thunder,USA,8.8,5.0,0.8
thurl-bailey,Utah Jazz,USA,12.8,5.1,1.4
toby-bailey,Phoenix Suns,USA,3.3,1.7,0.6
cameron-bairstow,Chicago Bulls,Australia,1.2,1.0,0.2
mark-baker,Toronto Raptors,USA,0.0,0.0,0.0
maurice-baker,Portland Trail Blazers,USA,0.0,0.4,0.2
norm-baker,Chicago Stags,Canada,0.0,,0.0
ron-baker,New York Knicks,USA,3.1,1.4,1.8
vin-baker,Oklahoma City Thunder,USA,15.0,7.4,1.9
wade-baldwin-iv,Memphis Grizzlies,USA,3.1,1.2,1.4
patrick-baldwin-jr,LA Clippers,USA,2.2,1.0,0.1
renaldo-balkman,New York Knicks,USA,4.0,3.5,0.6
cedric-ball,LA Clippers,USA,1.1,1.6,0.0
lamelo-ball,Charlotte Hornets,USA,25.2,4.9,7.4
