PLAYER_NAME,POINT_PER_GAME,ASSIST_PER_GAME
alaa-abdelnaby,5.70,0.30
zaid-abdul-aziz,9.00,1.20
kareem-abdul-jabbar,24.60,3.60
mahmoud-abdul-rauf,14.60,3.50
tariq-abdul-wahad,7.80,1.10
shareef-abdur-rahim,18.10,2.50
tom-abernethy,5.60,1.20
forest-able,0.00,1.00
john-abramovic,9.50,0.70
alex-abrines,5.30,0.50
precious-achiuwa,6.60,1.00
alex-acker,2.70,0.50
donald-ackerman,1.50,0.80
mark-acres,3.60,0.50
charles-acton,3.30,0.50
quincy-acy,4.90,0.60
alvan-adams,14.10,4.10
don-adams,8.70,1.80
hassan-adams,2.50,0.20
jaylen-adams,2.70,1.60
jordan-adams,3.20,0.60
michael-adams,14.70,6.40
steven-adams,3.90,1.10
rafael-addison,5.80,0.90
bam-adebayo,18.10,4.30
deng-adel,1.70,0.30
rick-adelman,7.70,3.50
jeff-adrien,4.60,0.70
arron-afflalo,10.80,1.80
ochai-agbaji,10.40,1.50
maurice-ager,2.10,0.20
mark-aguirre,20.00,3.10
blake-ahearn,4.60,1.20
danny-ainge,11.50,4.00
alexis-ajinca,5.30,0.50
henry-akin,3.50,0.50
josh-akognon,1.70,0.30
devaughn-akoon-purcell,1.00,0.90
solomon-alabi,1.50,0.20
mark-alarie,7.50,1.10
gary-alcorn,3.30,0.30
santi-aldama,12.50,2.90
furkan-aldemir,2.30,0.70
cole-aldrich,3.10,0.50
lamarcus-aldridge,19.10,1.90
chuck-aleksinas,5.10,0.50
cliff-alexander,1.30,0.00
cory-alexander,5.50,2.70
courtney-alexander,9.00,1.20
gary-alexander,1.70,0.20
joe-alexander,4.20,0.70
kyle-alexander,1.00,0.00
trey-alexander,1.30,0.50
ty-shon-alexander,0.60,0.40
victor-alexander,8.90,0.90
nickeil-alexander-walker,9.40,2.70
steve-alford,4.40,1.00
rawle-alkins,3.70,1.30
bob-allen,1.80,0.40
grayson-allen,10.60,2.10
jarrett-allen,13.50,1.90
jerome-allen,2.90,1.70
kadeem-allen,5.50,2.30
lavoy-allen,4.80,1.00
lucius-allen,13.40,4.50
malik-allen,4.90,0.50
randy-allen,3.60,0.30
ray-allen,18.90,3.40
timmy-allen,2.60,1.00
tony-allen,8.10,1.30
odis-allison,1.90,0.30
lance-allred,1.00,0.00
darrell-allums,2.70,1.10
morris-almond,3.10,0.30
derrick-alston,5.40,0.70
rafer-alston,10.10,4.80
peter-aluma,1.00,0.00
jose-alvarado,10.30,4.60
john-amaechi,6.20,0.80
ashraf-amaya,4.50,0.40
al-farouq-aminu,7.50,1.20
lou-amundson,3.70,0.40
bob-anderegg,4.00,0.90
chris-andersen,5.40,0.50
david-andersen,4.90,0.60
alan-anderson,7.30,1.10
antonio-anderson,2.00,0.00
cliff-anderson,3.00,0.80
daniel-anderson,3.70,1.70
derek-anderson,12.00,3.40
dwight-anderson,4.20,0.60
eric-anderson,1.60,0.20
greg-anderson,7.30,0.60
james-anderson,5.80,1.20
jerome-anderson,2.60,0.30
justin-anderson,5.30,0.80
kenny-anderson,12.60,6.10
kim-anderson,3.00,0.70
kyle-anderson,5.90,2.40
michael-anderson,5.70,4.30
mitchell-anderson,4.80,0.70
nick-anderson,14.40,2.60
richard-anderson,5.60,1.50
ron-anderson,10.60,1.40
ryan-anderson,12.30,0.90
shandon-anderson,7.40,1.40
willie-anderson,12.20,3.80
wally-anderzunas,3.60,0.20
martynas-andriuskevicius,0.00,0.00
don-anielak,3.00,0.00
ike-anigbogu,0.90,0.10
michael-ansley,6.90,0.40
chris-anstey,5.20,0.80
giannis-antetokounmpo,30.40,6.50
kostas-antetokounmpo,1.00,0.10
thanasis-antetokounmpo,2.40,0.60
carmelo-anthony,22.50,2.70
cole-anthony,9.40,2.90
greg-anthony,7.30,4.00
joel-anthony,2.20,0.20
pero-antic,6.30,0.90
og-anunoby,18.00,2.20
keith-appling,1.20,0.20
rafael-araujo,2.80,0.30
stacey-arceneaux,7.10,0.60
nate-archibald,18.80,7.40
robert-archibald,1.20,0.40
ryan-arcidiacono,4.00,1.90
jim-ard,3.50,0.70
gilbert-arenas,20.70,5.30
trevor-ariza,10.40,2.10
paul-arizin,22.80,2.30
joe-arlauckas,3.80,0.90
bj-armstrong,9.80,3.30
bob-armstrong,1.50,0.20
brandon-armstrong,2.20,0.20
darrell-armstrong,9.20,4.00
hilton-armstrong,3.00,0.30
paul-armstrong,6.80,2.30
taran-armstrong,,
tate-armstrong,3.80,1.10
jesse-arnelle,4.70,0.60
jay-arnette,3.70,1.20
bob-arnzen,5.50,0.40
carlos-arroyo,6.60,3.10
darrell-arthur,6.50,0.80
john-arthurs,3.20,1.50
jamel-artis,5.10,1.20
omer-asik,5.30,0.60
vincent-askew,7.10,2.20
keith-askins,3.80,0.80
don-asmonga,0.70,0.70
richard-atha,3.20,1.20
chucky-atkins,9.90,3.40
alvin-attles,8.90,3.50
chet-aubuchon,2.20,0.70
stacey-augmon,8.00,1.60
dj-augustin,9.50,3.90
james-augustine,1.60,0.10
ike-austin,7.60,1.20
john-austin,5.80,1.00
ken-austin,1.70,0.10
deni-avdija,16.90,3.90
anthony-avent,5.60,0.80
william-averitt,8.30,2.50
william-avery,2.70,1.40
dennis-awtrey,4.80,2.00
joel-ayayi,0.30,0.60
gustavo-ayon,4.70,1.30
jeff-ayres,2.90,0.40
deandre-ayton,14.40,1.60
kelenna-azubuike,10.50,1.10
udoka-azubuike,3.00,0.20
chris-babb,1.60,0.20
luke-babbitt,4.80,0.60
milos-babic,1.80,0.50
johnny-bach,3.50,0.70
dwayne-bacon,7.30,1.10
ibou-badji,1.50,0.60
jim-baechtold,9.70,2.10
dalibor-bagaric,2.60,0.40
john-bagley,8.70,6.00
marcus-bagley,6.70,1.00
marvin-bagley-iii,4.40,0.40
amari-bailey,2.30,0.70
carl-bailey,2.00,0.00
gus-bailey,2.60,1.10
james-bailey,8.80,0.80
thurl-bailey,12.80,1.40
toby-bailey,3.30,0.60
cameron-bairstow,1.20,0.20
mark-baker,0.00,0.00
maurice-baker,0.00,0.20
norm-baker,0.00,0.00
ron-baker,3.10,1.80
vin-baker,15.00,1.90
wade-baldwin-iv,3.10,1.40
patrick-baldwin-jr,2.20,0.10
renaldo-balkman,4.00,0.60
cedric-ball,1.10,0.00
lamelo-ball,25.20,7.40
lonzo-ball,7.60,3.30
greg-ballard,12.40,2.20
herschel-baltimore,2.40,0.30
mo-bamba,4.30,0.60
paolo-banchero,25.90,4.80
desmond-bane,19.20,5.30
gene-banks,11.30,2.90
marcus-banks,5.90,2.10
ken-bannister,5.90,0.40
mike-bantom,12.10,2.30
dalano-banton,8.30,2.40
cat-barber,0.00,1.00
john-barber,1.40,0.00
leandro-barbosa,10.60,2.10
stephen-bardo,2.20,1.30
jj-barea,8.90,3.90
andrea-bargnani,14.30,1.20
cliff-barker,3.70,2.00
tom-barker,6.50,0.80
charles-barkley,22.10,3.90
erick-barkley,2.90,1.50
don-barksdale,11.00,2.10
dominick-barlow,4.20,0.50
harrison-barnes,12.30,1.70
harry-barnes,2.00,0.20
jim-barnes,8.80,0.80
marvin-barnes,9.20,1.50
matt-barnes,8.20,1.80
scottie-barnes,19.30,5.80
dick-barnett,15.80,2.80
jim-barnett,11.70,3.00
john-barnhill,8.60,2.80
norton-barnhill,1.00,0.30
leo-barnhorst,9.40,3.20
john-barr,5.10,0.90
mike-barr,3.90,2.40
thomas-barr,2.00,0.90
andre-barrett,3.30,2.00
ernie-barrett,4.90,1.70
rj-barrett,21.10,5.40
earl-barron,4.60,0.50
dana-barros,10.50,3.30
brent-barry,9.30,3.20
drew-barry,2.20,1.90
jon-barry,5.70,2.20
rick-barry,23.20,5.10
ed-bartels,4.20,1.00
vic-bartolome,0.90,0.10
will-barton,11.20,2.70
eddie-basden,2.10,0.40
jerry-baskerville,1.20,0.10
brandon-bass,8.70,0.80
paris-bass,3.00,0.00
tim-bassett,5.90,1.20
charles-bassey,4.40,0.50
maceo-baston,2.70,0.20
mengke-bateer,3.40,0.60
billyray-bates,11.70,1.90
emoni-bates,3.70,0.80
keita-bates-diop,6.00,0.90
esteban-batista,1.70,0.20
mike-batiste,6.40,0.70
tony-battie,6.10,0.60
shane-battier,8.60,1.80
jamison-battle,7.10,0.90
john-battle,8.70,2.10
kenny-battle,4.70,0.80
dave-batton,3.20,0.60
nicolas-batum,4.00,1.10
damion-baugh,7.30,3.70
johnny-baum,4.50,0.50
frankie-baumholtz,14.00,1.20
lonny-baxter,3.90,0.20
jerryd-bayless,8.40,2.90
elgin-baylor,27.40,4.30
aron-baynes,6.00,0.80
sergei-bazarevich,3.00,1.40
kent-bazemore,8.20,1.80
darius-bazley,8.90,1.20
ed-beach,1.80,0.30
bradley-beal,17.00,3.70
butch-beard,9.30,3.60
ralph-beard,15.90,4.40
jerome-beasley,1.00,0.00
malik-beasley,16.30,1.70
michael-beasley,12.40,1.30
zelmo-beaty,16.00,1.50
rodrigue-beaubois,7.10,2.10
marjon-beauchamp,2.30,0.30
byron-beck,4.70,0.60
corey-beck,2.70,1.40
ernie-beck,6.30,1.80
moe-becker,3.80,0.70
william-bedford,4.10,0.50
reece-beekman,2.60,1.80
hank-beenders,8.40,0.50
ron-behagen,10.30,1.60
elmer-behnke,4.00,1.00
marco-belinelli,9.70,1.70
charlie-bell,8.50,2.30
dennis-bell,2.80,0.40
jordan-bell,3.70,1.20
raja-bell,9.90,1.70
troy-bell,1.80,0.70
william-bell,5.10,1.60
walt-bellamy,20.10,2.40
deandre-bembry,5.90,1.80
irv-bemoras,6.30,1.00
leon-benbow,5.50,1.60
dragan-bender,5.40,1.30
jonathan-bender,5.50,0.60
jerrelle-benimon,0.00,0.00
benoit-benjamin,11.40,1.30
corey-benjamin,5.50,0.90
anthony-bennett,4.40,0.50
elmer-bennett,2.30,1.00
mario-bennett,4.00,0.40
mel-bennett,3.90,0.80
tony-bennett,3.50,2.00
winston-bennett,4.80,0.90
david-benoit,7.00,0.60
keith-benson,0.00,0.00
kent-benson,9.10,1.80
ben-bentil,0.00,0.00
gene-berce,3.30,0.70
gary-bergen,1.30,0.20
jules-bernard,3.90,0.80
ricky-berry,11.00,1.30
walter-berry,14.10,1.40
dairis-bertans,2.80,0.80
dāvis-bertāns,7.70,0.90
del-beshore,3.50,2.00
travis-best,7.60,3.50
patrick-beverley,8.30,3.40
saddiq-bey,14.10,1.80
tyler-bey,1.00,0.20
sim-bhullar,0.70,0.30
al-bianchi,8.10,2.20
hank-biasatti,1.00,0.00
henry-bibby,8.60,3.30
mike-bibby,14.70,5.50
ed-biedenbach,0.60,0.40
andris-biedrins,6.30,0.90
don-bielke,2.00,0.10
bob-bigelow,2.50,0.40
chauncey-billups,15.20,5.40
dave-bing,20.30,6.00
joe-binion,1.30,0.10
khem-birch,5.00,1.00
jabari-bird,3.00,0.60
jerry-bird,2.30,0.40
larry-bird,24.30,6.30
otis-birdsong,18.00,3.20
gale-bishop,8.30,1.60
goga-bitadze,7.20,2.00
onuralp-bitim,3.50,0.60
bismack-biyombo,5.10,1.10
nemanja-bjelica,7.60,1.80
uwe-blab,2.10,0.40
anthony-black,9.40,3.10
charlie-black,9.20,2.30
leaky-black,2.70,0.90
norman-black,2.70,0.70
tarik-black,4.90,0.50
tom-black,4.20,0.60
rolando-blackman,18.00,3.00
alex-blackwell,1.30,0.30
cory-blackwell,3.40,0.40
james-blackwell,1.40,0.80
nate-blackwell,3.70,1.80
dejuan-blair,6.80,0.80
steve-blake,6.50,4.00
marqus-blakely,,
antonio-blakeney,7.50,0.80
will-blalock,1.80,1.20
george-blaney,3.30,1.30
lance-blanks,2.00,0.80
ricky-blanton,3.00,0.50
andray-blatche,10.10,1.40
mookie-blaylock,13.50,6.70
eric-bledsoe,13.70,4.70
keljin-blevins,2.20,0.50
leon-blevins,0.70,0.30
john-block,11.90,1.30
mike-bloom,6.80,0.80
jaron-blossomgame,4.20,0.50
corie-blount,3.60,0.70
mark-blount,8.20,0.80
vander-blue,3.00,1.20
trevon-bluiett,,
ray-blume,4.60,1.40
nelson-bobb,4.60,2.10
tony-bobbitt,2.50,0.00
arlen-bockhorn,11.50,3.50
buddy-boeheim,2.50,0.40
tom-boerwinkle,7.20,3.20
keith-bogans,6.30,1.30
bogdan-bogdanović,10.80,2.70
bojan-bogdanović,15.60,1.70
muggsy-bogues,7.70,7.60
andrew-bogut,9.60,2.20
etdrick-bohannon,1.40,0.20
bol-bol,6.80,0.60
manute-bol,2.60,0.30
jonah-bolden,4.30,0.80
marques-bolden,2.40,0.20
bill-bolger,2.80,0.60
leandro-bolmaro,1.10,0.60
joel-bolomboy,1.70,0.10
doug-bolstorff,1.30,0.00
george-h-bon-salle,1.30,0.00
adem-bona,5.80,0.50
phil-bond,0.60,0.30
walter-bond,5.70,1.20
jordan-bone,2.80,1.10
dexter-boney,2.40,0.00
isaac-bonga,3.10,0.80
ron-bonham,6.30,0.40
anthony-bonner,6.90,1.40
matt-bonner,5.80,0.70
devin-booker,25.60,7.10
melvin-booker,5.20,2.30
trevor-booker,6.90,1.10
josh-boone,5.20,0.50
ron-boone,13.90,3.40
calvin-booth,3.30,0.40
keith-booth,2.90,0.90
bob-boozer,14.80,1.40
carlos-boozer,16.20,2.20
curtis-borchardt,3.10,0.80
jake-bornheimer,4.60,0.70
lazaro-borrell,3.60,0.60
costic-borsavage,2.70,0.20
vince-boryla,11.20,2.10
chris-bosh,19.20,2.00
jim-bostic,6.50,0.80
brandon-boston,10.70,2.20
lawrence-boston,4.30,0.20
tom-boswell,7.70,1.60
chris-boucher,10.00,0.70
james-bouknight,4.80,0.90
ruben-boumtje-boumtje,1.00,0.10
jamaree-bouyea,3.40,2.00
don-boven,9.00,2.00
cal-bowdler,3.00,0.20
bruce-bowen,6.10,1.20
ryan-bowen,2.60,0.50
brian-bowen-ii,0.80,0.00
anthony-bowie,6.40,1.80
sam-bowie,10.90,2.10
ira-bowman,0.90,0.50
ky-bowman,7.40,2.90
nate-bowman,2.90,0.70
donnie-boyce,2.60,0.50
dennis-boyd,1.20,1.40
fred-boyd,8.50,3.00
ken-boyd,3.20,0.30
earl-boykins,8.90,3.20
harry-boykoff,10.10,1.90
winford-boynes,8.40,1.20
cedric-bozeman,1.10,0.40
steve-bracey,6.10,2.20
craig-brackins,1.80,0.50
gary-bradds,3.30,0.50
alex-bradley,3.50,0.30
alonzo-bradley,4.40,0.70
avery-bradley,11.00,1.70
bill-bradley,12.40,3.40
charles-bradley,3.20,0.50
dudley-bradley,5.20,1.90
joe-bradley,1.90,0.80
michael-bradley,2.80,0.50
shawn-bradley,8.10,0.70
tony-bradley,4.40,0.40
mark-bradtke,1.60,0.20
marques-bragg,2.50,0.20
torraye-braggs,2.10,0.30
aj-bramlett,1.00,0.00
adrian-branch,6.40,0.70
elton-brand,15.90,2.10
terrell-brandon,13.80,6.10
malaki-branham,5.00,0.80
bob-brannum,7.30,2.10
brad-branson,5.40,0.70
jesse-branson,1.00,0.20
jarrell-brantley,2.70,0.70
jim-brasco,3.70,1.10
mike-bratz,7.00,3.20
carl-braun,13.50,3.70
christian-braun,15.40,2.60
ignas-brazdeikis,5.00,0.90
tim-breaux,2.90,0.40
jr-bremer,6.50,2.20
pete-brennan,2.50,0.40
tom-brennan,0.90,0.20
randy-breuer,6.80,0.90
corey-brewer,8.70,1.50
jamison-brewer,1.60,1.00
jim-brewer,5.80,1.50
ron-brewer,11.90,1.80
ronnie-brewer,7.80,1.60
primoz-brezec,7.20,0.50
frank-brian,12.30,2.60
frank-brickowski,10.00,1.90
junior-bridgeman,13.60,2.40
bill-bridges,11.90,2.80
jalen-bridges,1.10,0.00
mikal-bridges,17.60,3.70
miles-bridges,20.30,3.90
al-brightman,9.80,1.00
amida-brimah,2.60,0.20
audley-brindley,2.80,0.10
isaiah-briscoe,3.50,2.20
john-brisker,11.90,1.80
oshae-brissett,8.70,0.70
allan-bristow,7.90,3.20
tyrone-britt,2.50,1.10
wayman-britt,1.30,0.30
mike-brittain,1.70,0.20
david-britton,2.00,1.50
izaiah-brockington,4.00,0.00
jon-brockman,2.10,0.30
ryan-broekhoff,4.00,0.60
jim-brogan,5.10,1.80
malcolm-brogdon,12.70,4.10
gary-brokaw,8.00,3.00
price-brookfield,7.80,2.20
aaron-brooks,9.70,3.00
armoni-brooks,6.60,1.20
dillon-brooks,14.00,1.70
kevin-brooks,3.30,0.40
marshon-brooks,8.00,1.40
michael-brooks,12.80,2.60
scott-brooks,4.90,2.40
keion-brooks-jr,10.10,0.90
andre-brown,2.60,0.10
anthony-brown,3.90,0.70
bob-brown,10.10,1.40
bobby-brown,4.40,1.50
bruce-brown,8.30,2.00
chucky-brown,5.90,0.80
damone-brown,2.80,0.50
darrell-brown,1.30,0.00
dee-brown,11.10,3.70
dee-brown,2.10,1.80
derrick-brown,5.20,0.70
devin-brown,7.20,1.50
ernest-brown,1.00,0.00
fred-brown,14.60,3.30
george-brown,1.00,0.00
gerald-brown,2.40,0.90
harold-brown,4.90,0.70
jabari-brown,11.90,2.10
