Rk,Player,Nation,Pos,Team,Comp,Age,Born,Match,Starts,Min,Goals,Shots,SoT,Assists,CrdY,CrdR,TklW
1,Brenden Aaronson,USA,MFFW,Leeds United,Premier League,22,2000,20,19,1596,1,1.53,0.28,0.11,0.11,0,0.51
2,Yunis Abdelhamid,MAR,DF,Reims,Ligue 1,35,1987,22,22,1980,0,0.86,0.05,0.05,0.09,0,1.59
3,Himad Abdelli,FRA,MFFW,Angers,Ligue 1,23,1999,14,8,770,0,1.05,0.35,0,0.12,0,1.4
4,Salis Abdul Samed,GHA,MF,Lens,Ligue 1,22,2000,20,20,1799,1,0.6,0.15,0,0.15,0,0.8
5,Laurent Abergel,FRA,MF,Lorient,Ligue 1,30,1993,15,15,1165,0,0.31,0,0.08,0.16,0,2.02
6,Oliver Abildgaard,DEN,MF,Hellas Verona,Serie A,26,1996,1,0,11,0,0,0,0,0,0,10
7,Matthis Abline,FRA,FWMF,Auxerre,Ligue 1,19,2003,5,2,185,1,4.29,1.43,0,0,0,0.48
8,Matthis Abline,FRA,FWMF,Rennes,Ligue 1,19,2003,11,0,107,1,5,1.67,0,0,0,0.83
9,Abner,BRA,DF,Betis,La Liga,22,2000,4,3,272,0,0.67,0.33,0,0,0,2.33
10,Zakaria Aboukhlal,MAR,FWMF,Toulouse,Ligue 1,22,2000,22,17,1507,5,2.75,1.02,0.24,0.18,0,0.72
11,Tammy Abraham,ENG,FW,Roma,Serie A,25,1997,22,18,1582,6,2.67,1.25,0.17,0.06,0,0.4
12,Francesco Acerbi,ITA,DF,Inter,Serie A,35,1988,14,12,1110,0,0.49,0,0.08,0.24,0,0.57
13,Mohamed Achi,FRA,FW,Nantes,Ligue 1,21,2002,2,0,36,0,2.5,0,0,0,0,2.5
14,Marcos Acuña,ARG,DF,Sevilla,La Liga,31,1991,16,12,985,2,1.47,0.37,0.09,0.46,0.09,1.74
15,Che Adams,SCO,FW,Southampton,Premier League,26,1996,21,18,1577,4,2.06,0.74,0.11,0,0,0.69
16,Tyler Adams,USA,MF,Leeds United,Premier League,23,1999,19,19,1706,0,0.11,0,0,0.26,0.05,2
17,Sargis Adamyan,ARM,FWMF,Köln,Bundesliga,29,1993,16,3,471,1,3.46,1.73,0.19,0.38,0,1.15
18,Tosin Adarabioyo,ENG,DF,Fulham,Premier League,25,1997,14,12,1095,1,0.33,0.16,0,0.16,0,0.41
19,Martin Adeline,FRA,MFFW,Reims,Ligue 1,19,2003,5,0,107,0,0.83,0,0,1.67,0,2.5
20,Karim Adeyemi,GER,FWMF,Dortmund,Bundesliga,21,2002,15,11,765,2,2.24,0.94,0.12,0.59,0,0.71
21,Amine Adli,FRA,FW,Leverkusen,Bundesliga,22,2000,13,6,652,1,1.94,0.69,0.28,0.14,0,1.11
22,Yacine Adli,FRA,MFFW,Milan,Serie A,22,2000,4,1,116,0,1.54,1.54,0,0.77,0,2.31
23,Michel Aebischer,SUI,FWMF,Bologna,Serie A,26,1997,18,8,775,1,1.16,0.23,0,0.35,0,0.12
24,Felix Afena-Gyan,GHA,FWMF,Cremonese,Serie A,20,2003,12,2,359,0,2.5,0.25,0,0.25,0,0.5
25,Emmanuel Agbadou,CIV,DF,Reims,Ligue 1,25,1997,19,18,1599,0,0.79,0.11,0.11,0.11,0.11,1.63
26,Lucien Agoume,FRA,MF,Troyes,Ligue 1,21,2002,5,4,286,0,0.31,0,0,0.63,0,2.19
27,Felix Agu,GER,DFFW,Werder Bremen,Bundesliga,23,1999,3,0,49,0,2,0,0,0,0,0
28,Álvaro Aguado,ESP,MF,Valladolid,La Liga,26,1996,19,12,1130,0,0.71,0.16,0.16,0.16,0,0.48
29,Kevin Agudelo,COL,MFFW,Spezia,Serie A,24,1998,21,16,1443,0,1.13,0.31,0,0.13,0,1.38
30,Nayef Aguerd,MAR,DF,West Ham,Premier League,26,1996,6,5,515,0,0.88,0,0,0.53,0,1.58
31,Ruben Aguilar,FRA,DF,Monaco,Ligue 1,29,1993,13,7,615,0,0.29,0.29,0,0.29,0,0.74
32,Naouirou Ahamada,FRA,MFFW,Crystal Palace,Premier League,20,2002,2,0,16,0,5,0,0,0,0,0
33,Naouirou Ahamada,FRA,MF,Stuttgart,Bundesliga,20,2002,17,17,1398,2,1.03,0.32,0.13,0.26,0.06,0.71
34,Amar Ahmed,SWE,FW,Troyes,Ligue 1,18,2004,1,0,20,0,0,0,0,0,0,5
35,Jean-Eudes Aholou,CIV,MF,Strasbourg,Ligue 1,28,1994,19,10,834,1,0.97,0.32,0,0.32,0.11,1.4
36,Joseph Aidoo,GHA,DF,Celta Vigo,La Liga,27,1995,20,20,1800,2,0.45,0.1,0,0.15,0,1.05
37,Ola Aina,NGA,DF,Torino,Serie A,26,1996,12,8,676,1,0.93,0.4,0.13,0.53,0,1.33
