Họ và tên,Tuổi,Chiều cao (cm),Cân nặng (kg),Vị trí thi đấu,Quốc tịch,Chỉ số tổng thể,Tiềm năng phát triển,Giá trị chuyển nhượng (euro),Lương (euro)
L. Messi,31,170.18,72.1,"CF,RW,ST",Argentina,94,94,110500000,565000
C. Eriksen,27,154.94,76.2,"CAM,RM,CM",Denmark,88,89,69500000,205000
P. Pogba,25,190.5,83.9,"CM,CAM",France,88,91,73000000,255000
L. Insigne,27,162.56,59,"LW,ST",Italy,88,88,62000000,165000
K. Koulibaly,27,187.96,88.9,CB,Senegal,88,91,60000000,135000
V. van Dijk,27,193.04,92.1,CB,Netherlands,88,90,59500000,215000
K. MbappÃ©,20,152.4,73,"RW,ST,RM",France,88,95,81000000,100000
S. AgÃ¼ero,30,172.72,69.9,ST,Argentina,89,89,64500000,300000
M. Neuer,32,193.04,92.1,GK,Germany,89,89,38000000,130000
E. Cavani,32,185.42,77.1,ST,Uruguay,89,89,60000000,200000
Sergio Busquets,30,187.96,76.2,"CDM,CM",Spain,89,89,51500000,315000
T. Courtois,26,198.12,96.2,GK,Belgium,89,90,53500000,240000
M. ter Stegen,26,187.96,84.8,GK,Germany,89,92,58000000,240000
A. Griezmann,27,175.26,73,"CF,ST",France,89,90,78000000,145000
M. Salah,26,175.26,71.2,"RW,ST",Egypt,89,90,78500000,265000
P. Dybala,25,152.4,74.8,"CAM,RW",Argentina,89,94,89000000,205000
M. Å kriniar,24,187.96,79.8,CB,Slovakia,86,93,53500000,89000
Fernandinho,33,152.4,67.1,CDM,Brazil,87,87,20500000,200000
G. HiguaÃ­n,31,185.42,88.9,ST,Argentina,87,87,48500000,205000
I. RakitiÄ‡,30,182.88,78,"CM,CDM",Croatia,87,87,46500000,260000
J. Vertonghen,31,187.96,86.2,CB,Belgium,87,87,34000000,155000
D. Mertens,31,170.18,60.8,"CF,ST",Belgium,87,87,45000000,135000
Marcelo,30,175.26,79.8,LB,Brazil,87,87,36500000,240000
T. Alderweireld,30,185.42,81.2,CB,Belgium,87,88,44000000,165000
Jordi Alba,29,170.18,68,LB,Spain,87,87,38000000,250000
Thiago,27,175.26,69.9,"CM,CAM,CDM",Spain,87,87,51500000,140000
C. Immobile,29,185.42,84.8,ST,Italy,87,87,52000000,115000
K. Navas,32,185.42,79.8,GK,Costa Rica,87,87,30500000,195000
Isco,26,175.26,78.9,"CAM,CM,LW",Spain,87,90,62500000,260000
J. RodrÃ­guez,27,154.94,74.8,"CAM,CM,RM",Colombia,87,88,59000000,260000
Casemiro,27,185.42,83.9,CDM,Brazil,87,89,50500000,240000
M. Icardi,26,154.94,74.8,ST,Argentina,87,90,64500000,130000
Kepa,24,185.42,84.8,GK,Spain,84,90,31000000,92000
H. Ziyech,25,154.94,64.9,"CAM,RW",Morocco,84,86,38000000,31000
Fabinho,25,187.96,78,CDM,Brazil,84,88,34000000,120000
A. Martial,23,182.88,76.2,"LW,ST,LM",France,84,90,42500000,165000
T. Werner,23,154.94,74.8,ST,Germany,84,87,40000000,77000
N. SÃ¼le,23,195.58,97.1,CB,Germany,84,90,36500000,84000
Bruno Fernandes,24,152.4,68.9,"CAM,CM",Portugal,84,88,40500000,22000
Alex Telles,26,154.94,71.2,LB,Brazil,84,86,31000000,22000
J. GimÃ©nez,24,185.42,79.8,CB,Uruguay,84,88,34000000,63000
N. Fekir,25,172.72,74.8,CAM,France,84,88,40500000,84000
D. SÃ¡nchez,22,187.96,78.9,CB,Colombia,84,88,34000000,105000
Marco Asensio,23,182.88,76.2,"LW,RW",Spain,84,89,41500000,195000
O. DembÃ©lÃ©,21,152.4,67.1,"RW,LW",France,84,92,46000000,170000
Iniesta,34,170.18,68,"CM,LM",Spain,85,85,18500000,19000
Z. IbrahimoviÄ‡,37,195.58,94.8,ST,Sweden,85,85,14000000,15000
Jorginho,27,154.94,67.1,CM,Italy,83,84,30000000,140000
E. ViÅ¡Ä‡a,29,172.72,63,"RM,RW",Bosnia Herzegovina,83,83,26000000,44000
S. Gnabry,23,175.26,74.8,"LM,RM,CAM,LW",Germany,83,87,34000000,85000
M. KovaÄiÄ‡,24,175.26,78,CM,Croatia,83,89,35000000,165000
William Carvalho,26,187.96,83,"CDM,CM",Portugal,83,86,27000000,35000
Felipe,29,190.5,86.2,CB,Brazil,83,84,22500000,22000
Y. Carrasco,25,154.94,73,LM,Belgium,83,86,33000000,20000
Lucas VÃ¡zquez,27,172.72,69.9,"RW,RM",Spain,83,83,27000000,205000
Q. Promes,27,175.26,72.1,"LM,ST,RM",Netherlands,83,83,28000000,28000
L. Goretzka,24,187.96,78.9,"CM,CAM,CDM",Germany,83,88,34000000,85000
A. Rabiot,23,193.04,79.8,"CM,CDM",France,83,87,33000000,91000
A. Romagnoli,24,187.96,78,CB,Italy,83,90,31000000,92000
JoÃ£o Cancelo,24,182.88,73.9,RB,Portugal,83,89,29500000,105000
Anderson Talisca,25,190.5,79.8,CAM,Brazil,83,87,34000000,27000
K. Coman,22,152.4,71.2,"LM,RM,LW,RW",France,83,88,34500000,85000
T. Lemar,23,170.18,62.1,"LM,CAM,RM",France,83,89,35500000,64000
J. Tah,23,195.58,97.1,CB,Germany,82,87,25000000,61000
M. Politano,25,170.18,67.1,"RM,LM,ST",Italy,82,85,28000000,61000
C. Lenglet,23,185.42,81.2,CB,France,82,88,26000000,135000
Pau LÃ³pez,24,187.96,77.1,GK,Spain,82,87,21500000,21000
H. Lozano,23,175.26,69.9,"RW,LW",Mexico,82,87,29500000,24000
Malcom,22,172.72,73.9,RW,Brazil,82,89,31500000,140000
L. Torreira,23,167.64,64,"CDM,CM",Uruguay,82,87,25000000,98000
GonÃ§alo Guedes,22,152.4,68,"LM,ST,RM,LW",Portugal,82,86,29000000,36000
G. Lo Celso,22,175.26,69.9,"CM,CAM,CDM",Argentina,82,88,30000000,83000
FabiÃ¡n,22,187.96,69.9,"CM,CDM,CAM",Spain,82,90,32000000,70000
F. de Jong,21,154.94,69.9,"CM,CDM,CB",Netherlands,82,89,31000000,20000
Raphaelito Anjos,31,190.5,84.8,GK,Brazil,82,82,14000000,32000
Juiano Mestres,35,154.94,82.1,"CB,CDM",Brazil,82,82,6500000,39000
Rosberto Dourado,31,175.26,69.9,"CDM,CM",Brazil,82,82,16500000,46000
Arthur,22,170.18,73,CM,Brazil,82,90,32500000,125000
Rodri,22,190.5,82.1,"CM,CDM",Spain,82,87,29000000,59000
M. Parolo,34,182.88,74.8,"CDM,CM",Italy,82,82,9000000,59000
M. Kruse,30,154.94,76.2,"CF,ST,CAM",Germany,82,82,21500000,45000
